id,time,input_type,input_value
1,Nov 19 2020 163442,var,disp
1,Nov 19 2020 163442,sidebar_menu,desc_stats
1,Nov 19 2020 163442,sigfig,3
2,Nov 19 2020 163445,var,mpg
2,Nov 19 2020 163445,sidebar_menu,freq_table
2,Nov 19 2020 163445,sigfig,3
3,Nov 19 2020 163447,var,drat
3,Nov 19 2020 163447,sidebar_menu,histogram
3,Nov 19 2020 163447,sigfig,3
4,Nov 19 2020 163454,iv,wt
4,Nov 19 2020 163454,dv,drat
4,Nov 19 2020 163454,sidebar_menu,scatterplot
4,Nov 19 2020 163454,sigfig,3
5,Nov 19 2020 163459,iv,cyl
5,Nov 19 2020 163459,dv,mpg
5,Nov 19 2020 163459,iv_order,4
5,Nov 19 2020 163459,iv_order,6
5,Nov 19 2020 163459,iv_order,8
5,Nov 19 2020 163459,sidebar_menu,histogram_by_group
5,Nov 19 2020 163459,sigfig,3
6,Nov 19 2020 173454,iv,cyl
6,Nov 19 2020 173454,dv,mpg
6,Nov 19 2020 173454,iv_order,4
6,Nov 19 2020 173454,iv_order,6
6,Nov 19 2020 173454,iv_order,8
6,Nov 19 2020 173454,sidebar_menu,histogram_by_group
6,Nov 19 2020 173454,sigfig,3
